run_name,timestamp,settings.architecture,settings.batch_size,settings.contact_d0,settings.contact_tau,settings.curriculum_epochs,settings.dataset,settings.dt,settings.epochs,settings.gravity,settings.k_over_m,settings.latent_dim,settings.learning_rate,settings.loss_mode,settings.mass,settings.message_passing_layers,settings.multistep,settings.n_train,settings.nearest_neighbors,settings.nodes_per_edge,settings.noise_scale,settings.pos_history,settings.repeat_blocks,settings.rot_noise_scale,settings.scheduler,settings.test_range,settings.train_range,settings.use_drag_baseline,settings.use_wind,settings.val_range,settings.w_diss,settings.w_fluid_reg,settings.w_sparse,metrics.center_error,metrics.angle_error_deg,metrics.floor_penetration,metrics.center_error_std,metrics.angle_error_std,metrics.floor_penetration_std,metrics.phase_center_airborne,metrics.phase_center_contact,metrics.phase_center_settled,metrics.phase_angle_airborne,metrics.phase_angle_contact,metrics.phase_angle_settled,metrics.n_test,metrics.have_wrench_labels,metrics.force_contact_err_airborne,metrics.force_contact_true_airborne,metrics.force_fluid_err_airborne,metrics.force_fluid_true_airborne,metrics.force_contact_err_contact,metrics.force_contact_true_contact,metrics.force_fluid_err_contact,metrics.force_fluid_true_contact,metrics.force_contact_err_settled,metrics.force_contact_true_settled,metrics.force_fluid_err_settled,metrics.force_fluid_true_settled,metrics.force_contact_rms_true,metrics.force_contact_rms_err,metrics.force_contact_err_over_signal,metrics.force_contact_r2,metrics.force_fluid_rms_true,metrics.force_fluid_rms_err,metrics.force_fluid_err_over_signal,metrics.force_fluid_r2,settings.fix_mu,settings.learn_mu,settings.w_fluid_anchor,settings.w_fluid_smooth,settings.w_fluid_torque,metrics.recovered_mu,settings.w_fric_cone,settings.w_fric_dir,settings.w_fric_mag,settings.fix_k,settings.learn_k,metrics.impulse_timing_fraction,metrics.impulse_timing_fraction_std,metrics.impulse_E_frame_over_signal,metrics.impulse_E_frame_over_signal_std,metrics.impulse_E_total_over_signal,metrics.impulse_E_total_over_signal_std,metrics.impulse_n_traj,metrics.recovered_mu_ckpt,metrics.recovered_k_over_m,metrics.final_train_loss,metrics.final_train_loss_std,metrics.final_train_loss_n,metrics.best_val_loss,metrics.best_val_epoch,metrics.total_optimizer_steps,metrics.mu_final,metrics.mu_init,metrics.mu_drift,metrics.mu_tail_slope_per_1k_ep,metrics.k_final,metrics.k_init,metrics.k_drift,metrics.k_tail_slope_per_1k_ep,metrics.raw_diss,metrics.raw_fluid_anchor,metrics.raw_fluid_smooth,metrics.raw_fluid_torque,metrics.diag_align,metrics.diag_align_std,metrics.diag_misalign_deg,metrics.diag_n_epochs,metrics.diag_mu_implied,metrics.diag_mu_implied_std,metrics.diag_gate_frac,metrics.raw_fric_cone,metrics.raw_fric_dir,metrics.raw_fric_mag,metrics.mu_mode,metrics.k_mode,metrics.diag_cancel_slide,metrics.diag_cancel_static,settings.diag_align,settings.diag_align_std,settings.diag_cancel_slide,settings.diag_cancel_static,settings.diag_gate_frac,settings.diag_misalign_deg,settings.diag_mu_implied,settings.diag_mu_implied_std,settings.diag_n_epochs
FIN_W20_LEARNK_2,9/12/2026 3:51,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_20_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,FALSE,TRUE,284-454,0,,0,0.061860934,3.026496832961576,0.004010403,0.1262284216705677,3.378128727317275,0.000894709,0.000884139,0.062888903,0.077004404,0.032084378,3.272283318272808,2.997678489912124,114,1,0.003063865,0,0.023927439,0.3732699751853943,0.5774989724159241,1.1998437643051147,0.079135641,0.3314643800258636,0.057227053,1.0117281675338743,0.032044671,0.08233574,0.822507402,0.5320782362342179,0.6468978089733353,0.5815232247454982,0.227606591,0.07184797,0.3156673538934731,0.9003541216858928,,TRUE,0.2,0.03,,0.157600924,1.5,6,1,,TRUE,0.81459509,0.1226846703293818,0.3994008167554155,0.1405320495719872,0.082620597,0.092137931,114,0.157600924,0.029209102,0.1872854956178641,0.006434623,20,0.045054895,5551,490150,0.157600924,0.3006226122379303,-0.143021688,0.001105448,0.029209102,0.028358668,0.000850433,8.177419331332553e-06,,,,,0.967949179,0.041040079,14.54534562892514,20,0.2046695806086063,0.010914983,0.9166776061058044,,,,,,0.010269302,0.036889062,,,,,,,,,
FIN_W0_1,9/12/2026 3:54,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_0_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,FALSE,TRUE,284-454,0,,0,0.024812236,2.347058185,0.004211584,0.020064946,4.223906730901543,0.000691152,0.000523656,0.022556626,0.045657158,0.04799978,2.270483743,3.888374908078861,114,1,0.011292161,0,0.01757475,0.005433832,0.4911665618419647,1.2367931604385376,0.06340608,0.001496916,0.025101302,1.008196473121643,0.010453941,1.212168535857927e-05,0.7899587530168546,0.4452081829664637,0.5635840874807861,0.6823729763384496,0.001291902,0.060551053,46.86970529224676,-2195.769274,,TRUE,0.2,0.03,,0.1597584784030914,1.5,6,1,,TRUE,0.8824998043979894,0.052357395,0.3107957809922994,0.1019486602381244,0.036568091,0.021926103,114,0.1597584784030914,4.061550862388685e-05,0.043562757,0.001164965,20,0.025399217,5791,490150,0.1597584784030914,0.3008771240711212,-0.141118646,-0.000102666,4.061550862388685e-05,0.028647378,-0.028606763,-2.29E-05,,,,,0.996241909,0.000613223,4.968866911886687,20,0.1814488664269447,0.003681346,0.7840699344873429,,,,,,0.016128252,0.051676926,,,,,,,,,
FIN_W0_3,9/12/2026 3:56,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_0_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,FALSE,TRUE,284-454,0,,0,0.025408917,2.189724044057361,0.00507395,0.018657475,4.398198366355894,0.000901221,0.000421011,0.022460633,0.04942375,0.036562855,2.1081074387357948,3.669255240354687,114,1,0.010500703,0,0.019437568,0.005433832,0.4540174007415771,1.2367931604385376,0.064382449,0.001496916,0.022504838,1.008196473121643,0.01149392,1.212168535857927e-05,0.7899587530168546,0.4085873479915953,0.5172261797609041,0.7324770789699409,0.001291902,0.059957129,46.40997734,-2152.885997,,TRUE,0.2,0.03,,0.1599932312965393,1.5,6,1,,TRUE,0.8839751088766629,0.052552871,0.2854566612593295,0.078356792,0.03335664,0.018329659,114,0.1599932312965393,1.6760099242674187e-05,0.043758071,0.000525593,20,0.024590957,4831,490150,0.1599932312965393,0.3009381592273712,-0.140944928,-0.000150797,1.6760099242674187e-05,0.028643867,-0.028627107,-7.29E-06,,,,,0.9959398597478868,0.000917551,5.164820102814066,20,0.1812511563301086,0.003099907,0.7804669201374054,,,,,,0.015640848,0.043732664,,,,,,,,,
FIN_W20_LEARNK_1,9/12/2026 3:57,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_20_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,FALSE,TRUE,284-454,0,,0,0.052560022,3.564064782178193,0.004078851,0.088125219,7.098335656867444,0.000829325,0.000636746,0.052295706,0.085289856,0.030638009,3.674345638929752,4.320709245722918,114,1,0.005103626,0,0.017534601,0.3732699751853943,0.5737789869308472,1.1998437643051147,0.075850122,0.3314643800258636,0.055163164,1.0117281675338743,0.027619125,0.08233574,0.822507402,0.5305168790649798,0.6449995194681047,0.58397562,0.227606591,0.069342259,0.3046583956780144,0.9071832619428984,,TRUE,0.2,0.03,,0.1565979868173599,1.5,6,1,,TRUE,0.8290827742501761,0.1045777588325055,0.4017497287628302,0.1512772518871915,0.076716691,0.087840839,114,0.1565979868173599,0.029212592,0.1952530539841676,0.008358096,20,0.044654126,9761,490150,0.1565979868173599,0.3008107244968414,-0.144212738,0.000411551,0.029212592,0.028355483,0.000857109,4.753088976806522e-06,,,,,0.9750432908535004,0.023414771,12.82740076911751,20,0.2097099192440509,0.016348374,0.9145784080028534,,,,,,0.008696564,0.027290418,,,,,,,,,
FIN_W5_2,9/12/2026 3:59,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_5_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,FALSE,TRUE,284-454,0,,0,0.030872814,2.2334454598134026,0.004590407,0.025667955,3.597591315561068,0.000847656,0.000474009,0.026341899,0.060116503,0.033932957,2.110602197939889,3.4567875293064483,114,1,0.009343101,0,0.018347939,0.03034509,0.4739706218242645,1.2369046211242676,0.067188472,0.024640784,0.032182403,1.007684588432312,0.011116636,0.020596845,0.7867917587624821,0.4179127655185432,0.5311605782143219,0.7178684401510271,0.018533345,0.061702098,3.3292477716718456,-10.08389073,,TRUE,0.2,0.03,,0.1587571054697036,1.5,6,1,,TRUE,0.8818884726767977,0.049910744,0.3009212893113605,0.088943341,0.035325475,0.019366921,114,0.1587571054697036,0.027114982,0.043968242,0.000293709,20,0.026913636,4461,490150,0.1587571054697036,0.3006220161914825,-0.141864911,3.5408355835290165e-05,0.027114982,0.028358653,-0.001243671,-0.000129962,,,,,0.9959479570388794,0.000737497,5.159663847782967,20,0.1796475633978843,0.003417314,0.7754712104797363,,,,,,0.015229678,0.03987752,,,,,,,,,
FIN_W5_1,9/12/2026 4:04,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_5_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,FALSE,TRUE,284-454,0,,0,0.028531398,2.1129155283172927,0.004170519,0.022919602,1.7758973863356675,0.000835261,0.00061606,0.025871573,0.049603416,0.032104473,2.1218549779109788,2.940546343,114,1,0.010215989,0,0.016743027,0.03034509,0.5197269320487976,1.2369046211242676,0.062726468,0.024640784,0.024470003,1.007684588432312,0.009805082,0.020596845,0.7867917587624821,0.4585324816985525,0.5827876011560704,0.660358612,0.018533345,0.057922033,3.125287544176025,-8.767422234,,TRUE,0.2,0.03,,0.158647671,1.5,6,1,,TRUE,0.886999253,0.048456433,0.3278401584867171,0.096819854,0.036897325,0.018537215,114,0.158647671,0.027239351,0.044615519,0.000562681,20,0.027237651,8691,490150,0.158647671,0.3008006513118744,-0.14215298,-0.000185742,0.027239351,0.028361892,-0.001122542,-6.13E-05,,,,,0.9960306048393248,0.000834328,5.106737799995571,20,0.1793177753686904,0.002876529,0.7747325152158737,,,,,,0.015417106,0.040683785,,,,,,,,,
FIN_W10_2,9/12/2026 4:04,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_10_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,FALSE,TRUE,284-454,0,,0,0.029626291,2.548857239124022,0.004337482,0.022732001,4.933619675218158,0.000946477,0.000458151,0.028920053,0.049121921,0.03512928,2.6142913270414923,3.2637916182848943,114,1,0.009033355,0,0.015290905,0.1012820601463317,0.4519751667976379,1.2126494646072388,0.061395846,0.1018624603748321,0.0412581,1.0127291679382324,0.017255314,0.071144119,0.7891786603801416,0.4398617734667073,0.5573665325096717,0.689342548,0.07377889,0.061194889,0.8294362882008898,0.3120354438155306,,TRUE,0.2,0.03,,0.1586918979883194,1.5,6,1,,TRUE,0.8615354011366313,0.060116912,0.3133879867605447,0.099695674,0.042875815,0.02390937,114,0.1586918979883194,0.027479231,0.050001242,0.000752545,20,0.029174871,7481,490150,0.1586918979883194,0.3006690740585327,-0.141977176,-3.32E-05,0.027479231,0.02835682,-0.000877589,-3.53E-05,,,,,0.99578619,0.000731102,5.261719884904586,20,0.1812477380037307,0.004085234,0.8200856953859329,,,,,,0.010734618,0.026074961,,,,,,,,,
FIN_W20_FIXK_2,9/12/2026 4:05,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_20_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,TRUE,TRUE,284-454,0,,0,0.062923463,4.458579398822367,0.004049174,0.2043242421207055,9.188881875939378,0.000918943,0.000654576,0.064316984,0.063174656,0.022657064,4.731208784276979,4.618806148,114,1,0.004007535,0,0.018586067,0.3732699751853943,0.5928418636322021,1.1998437643051147,0.076982774,0.3314643800258636,0.059420295,1.0117281675338743,0.020836884,0.08233574,0.822507402,0.542927278,0.6600880140917392,0.5642838136524239,0.227606591,0.085534104,0.3757980087471296,0.8587758566216923,,TRUE,0.2,0.03,,0.1573420912027359,1.5,6,1,,FALSE,0.8270396859395537,0.1222382282117007,0.4065862062331031,0.1498164791480987,0.078602565,0.085627658,114,0.1573420912027359,0.028500004,0.1913408101745405,0.008836525,20,0.043844903,7741,490150,0.1573420912027359,0.3006830215454101,-0.14334093,0.000746274,,,,,,,,,0.9836728692054748,0.015925794,10.367767309209816,20,0.1940265290439128,0.01427848,0.9149032801389694,,,,,,0.009168563,0.025436566,,,,,,,,,
FIN_W10_3,9/12/2026 4:09,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_10_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,FALSE,TRUE,284-454,0,,0,0.034178945,2.945065077721027,0.004115638,0.042045298,6.727933414619252,0.000841428,0.000525525,0.031956177,0.056589649,0.038080979,2.961311591952516,4.258612792438536,114,1,0.007888194,0,0.01446351,0.1012820601463317,0.4437125921249389,1.2126494646072388,0.060857985,0.1018624603748321,0.038827818,1.0127291679382324,0.015850028,0.071144119,0.7891786603801416,0.429038221,0.5436515744853674,0.704442966,0.07377889,0.060794055,0.8240033827272549,0.321018425,,TRUE,0.2,0.03,,0.1586509793996811,1.5,6,1,,TRUE,0.8733047001691258,0.056182474,0.310783124,0.1007855577293565,0.038925828,0.022041302,114,0.1586509793996811,0.027400587,0.050153809,0.000434464,20,0.027609225,8071,490150,0.1586509793996811,0.3006515800952911,-0.142000601,-4.52E-05,0.027400587,0.028357072,-0.000956485,-4.08E-05,,,,,0.9960053622722626,0.000652956,5.122960492871033,20,0.1821013756096363,0.003303786,0.8292441189289093,,,,,,0.010235255,0.021701604,,,,,,,,,
FIN_W20_D3_1,9/12/2026 4:12,force,512,0.02,0.005,50,/storage/work/mby5170/Contact_GNN_From_Scratch/Mojoco_Contact_Wind_Estimation/data/mojoco_paper_replica_20_wind,0.006756757,10000,,0.0285,128,0.0001,accel,0.37,5,4,256,3,2,1.572e-05,3,1,,,454-568,0-256,TRUE,TRUE,284-454,0,,0,0.054482723,2.891307901002859,0.003967325,0.1287852245918334,4.189452843,0.000836559,0.000665157,0.056023495,0.059420872,0.020756017,3.1223032932009613,2.603836836382037,114,1,0.003714155,0,0.018844336,0.3732699751853943,0.5681599974632263,1.1998437643051147,0.073385559,0.3314643800258636,0.074938305,1.0117281675338743,0.036265027,0.08233574,0.822507402,0.51690682,0.6284524837606524,0.6050474756550669,0.227606591,0.07052585,0.3098585559521351,0.9039876753032576,,TRUE,0.1,0.03,,0.1570146679878235,1.5,3,1,,FALSE,0.8375795691547193,0.0996145,0.3991964843417963,0.1507145436947509,0.070445612,0.076523327,114,0.1570146679878235,0.028500004,0.1758015334986302,0.007663788,20,0.040338381,9061,490150,0.1570146679878235,0.3008663654327392,-0.143851697,0.000547478,,,,,,,,,0.9733035326004028,0.01840194,13.268916776672542,20,0.1930920392274856,0.010135055,0.9125067085027696,,,,,,0.01462978,0.033956489,,,,,,,,,
