idx,T,quality,v0,w0,tc_real,tc_twin,dtc,air_com_dev_mm,air_ang_dev_deg,contact_frames_real,contact_frames_twin,stop_dist_real,stop_dist_twin,e_z_real,e_z_twin,rest_offset_w,wind_mag,wind_offset_m,wind_offset_w,wind_offset_pct
0,111,fit,1.3391368756721636,5.224510650123767,11,11,0,0.42493073822335303,0.06262086281319684,82,94,0.4031098783016205,0.4782634451847718,0.09632977,0.011110369462606058,0.8792769685359215,2.0581158657881677,0.021696132600003214,0.207024166030565,3.5989114009400702
1,99,fit,1.1126430885453118,3.153414366927388,14,14,0,0.541624188720892,0.07517238152184574,67,59,0.27458685636520386,0.214813989602149,0.018714849,0.0327177209309292,0.5893623881003557,1.683621368866149,0.008252092064113488,0.07874133648963251,2.311049609602478
2,104,fit,1.1842271392262225,4.241812957860962,11,11,0,0.16160676005518962,0.06444047815649284,73,71,0.3160378932952881,0.2910116969463575,0.045541037,0.12512625443699185,0.26035416558877345,0.19197942792098233,0.0018301987236021531,0.0174637282786465,0.451185757426629
3,111,fit,1.2380356893339635,3.5259657371594844,15,15,0,0.2595388032879814,0.11899260517724194,77,74,0.34995049238204956,0.3171539411554961,0.14506747,0.09525183457731042,0.34270517205850465,0.11108138132240038,0.0007174591426109783,0.006845984185219259,0.15160497551999844
4,90,fit,1.0633523305849486,3.9489505054703393,21,21,0,1.0484819462057573,0.1505954899560483,51,55,0.18765677511692047,0.19177428504407337,0.13458951,0.0,0.10645017175211738,1.073067829026807,0.008505930485938125,0.08116345883528744,2.1957528716292454
5,104,fit,1.1174659284453319,2.0423768550959034,21,21,0,0.5393339217843556,0.11861047112096763,65,59,0.24487075209617615,0.21340936486309936,0.12111304,0.032567824314290506,0.3252048542310957,1.2948517149605474,0.005162211640859984,0.0492577446646945,1.2542125094888414
6,101,fit,1.2250308705085768,4.0693891478900115,13,13,0,0.5526307741068441,0.11759337977939145,70,71,0.306805819272995,0.2989939934116198,0.12965216,0.1871115969850711,0.10985325407557989,1.5873954346219912,0.016538786987475844,0.1578128529339298,3.7248629630700663
7,105,fit,1.1338154679338635,6.716479673986876,16,16,0,1.5750630267225212,0.110349729789659,71,76,0.32051464915275574,0.35260907315151313,0.0,0.0,0.3092538766858515,2.153547360394181,0.04981507265190047,0.47533466270897395,9.02893004281359
8,98,fit,1.0227561600505186,0.742771263205658,17,17,0,0.24374976733080742,0.18169824012230698,64,81,0.2512023448944092,0.3408913933033727,0.33558625,0.2304640350419008,0.8756051284083936,1.7227418726418025,0.009541564385935002,0.09104546169785306,1.9921215839820983
9,102,fit,1.1374396198225898,3.432872903274964,12,12,0,0.25290195760404127,0.06164706623970963,72,68,0.2869386076927185,0.26518836228030446,0.2694296,0.3237979703908025,0.33371687973042463,0.45261556048391993,0.0047655946890141476,0.04547323176540217,1.218219401835083
10,105,fit,1.095575096554239,3.1007709324406156,13,13,0,0.32722437526257653,0.3113858944716493,73,68,0.27073797583580017,0.2617476273636159,0.30464384,0.3526262324341202,0.4846974581858924,0.9809677215881785,0.0034948366225699217,0.033347677696277875,0.902309771517868
11,104,fit,1.1074410973691553,2.64173772633113,18,18,0,0.33286966467674217,0.20317781737677706,67,63,0.2643454372882843,0.23820723403348254,0.1780551,0.0465213293091285,0.27332117891647645,1.0281310162904524,0.002991135239334908,0.028541366787546832,0.7407734052034806
