idx,T,quality,v0,w0,tc_real,tc_twin,dtc,air_com_dev_mm,air_ang_dev_deg,contact_frames_real,contact_frames_twin,stop_dist_real,stop_dist_twin,e_z_real,e_z_twin,rest_offset_w,wind_mag,wind_offset_m,wind_offset_w,wind_offset_pct
0,111,fit,1.3391368756721636,5.224510650123767,11,11,0,26.4646809284862,0.06262086281319722,82,100,0.4031098783016205,2.01147859996835,0.09632977,0.24896988726873268,19.370896800044644,19.950844272667663,2.0868328553598303,19.912527245799907,346.15969092158394
1,99,fit,1.1126430885453118,3.153414366927388,14,14,0,28.67981957287032,0.07517238152184413,67,85,0.27458685636520386,0.6679027745092894,0.018714849,0.05698686141333955,8.938506697767435,15.311027286276829,0.8874466576897286,8.468002458871457,248.53494554622384
2,104,fit,1.1842271392262225,4.241812957860962,11,11,0,0.5692583854973192,0.06444047815649008,73,67,0.3160378932952881,0.27205101613236976,0.045541037,0.13044772251529538,0.42643226950183155,2.307172914360818,0.025910162958677423,0.24723437937669296,6.387446537253451
3,111,fit,1.2380356893339635,3.5259657371594844,15,15,0,64.25644328438156,0.11899260517724194,77,96,0.34995049238204956,2.106985765645221,0.14506747,0.0,23.88059688150323,21.666626739593738,2.4738425839131617,23.60536816711032,522.7431390860997
4,90,fit,1.0633523305849486,3.9489505054703393,21,21,0,52.3359073631035,0.15059548995604977,51,69,0.18765677511692047,0.4210729672468101,0.13458951,0.0,5.740451682750552,13.473025486078617,0.6249883993854152,5.963629765128007,161.33685491013475
5,104,fit,1.1174659284453319,2.0423768550959034,21,21,0,5.414018526858042,0.11861047112096569,65,83,0.24487075209617615,0.3650456420785802,0.12111304,0.02775808168346417,1.238846375167683,5.627021798021062,0.1507339402888749,1.4383009569549132,36.62236395316724
6,101,fit,1.2250308705085768,4.0693891478900115,13,13,0,24.088597405651345,0.11759337977939145,70,88,0.306805819272995,1.2161844314472174,0.12965216,0.0820940317545598,11.132450648992728,16.015259547462914,1.1677416323725278,11.142572827982136,262.9985838836455
7,105,fit,1.1338154679338635,6.716479673986876,16,16,0,179.14428444118465,0.1103497297896473,71,89,0.32051464915275574,5.62104914695758,0.0,0.1532944983742493,56.026641474299744,35.80397069415124,5.909519980097669,56.38854942841287,1071.0943424645477
8,98,fit,1.0227561600505186,0.742771263205658,17,17,0,7.979765875705558,0.18169824012230837,64,81,0.2512023448944092,0.5777601140671179,0.33558625,0.2589072074178628,3.20260528372212,7.938366973833703,0.26052113034129065,2.485888648294758,54.39252368315298
9,102,fit,1.1374396198225898,3.432872903274964,12,12,0,108.37718589172512,0.06164706623970963,72,90,0.2869386076927185,5.6712125302274075,0.2694296,0.0,57.22288678626553,37.26376860485477,5.96983718157987,56.96409524408273,1526.0574922920132
10,105,fit,1.095575096554239,3.1007709324406156,13,14,1,116.27575354026462,0.311385894471648,73,91,0.27073797583580017,5.513723916010164,0.30464384,0.14840684004252766,54.99964660929445,35.555633049894084,5.807712615671295,55.41710511136731,1499.456601045436
11,104,fit,1.1074410973691553,2.64173772633113,18,18,0,34.13976311618969,0.20317781737677204,67,86,0.2643454372882843,0.39330917482650035,0.1780551,0.0,6.111730376187054,12.579849556113652,0.6182142198679931,5.898990647595354,153.1046295648789
12,111,fit,1.1011887256001873,0.547241870203375,22,22,0,12.50226611880261,0.111327693115557,71,58,0.3033127188682556,0.25010254691434236,0.0,0.0,0.9981523773679094,5.785451865313724,0.19518203535704695,1.8624240014985396,31.952511636985598
13,104,fit,1.0563934155188914,2.3882888025506595,15,15,0,179.52283757133532,0.1281890043419374,70,89,0.277720183134079,6.560459092330137,0.37782225,0.572924535266621,64.49853243996108,38.88778488962118,6.736226178019842,64.27696734751757,1827.2948844844977
14,90,fit,1.0415916414613955,3.1538497335708744,14,14,0,21.416931889943285,0.07486765064829518,56,76,0.1997862607240677,0.668660121759612,0.07854188,0.03600849394249433,6.119692005394441,13.864168637086735,0.6570735938597011,6.269786200951346,198.04325553400366
15,88,fit,1.1092534485752656,3.8443447981376875,10,10,0,2.234789282397101,0.07317553905182736,59,78,0.2287186235189438,0.336939880782616,0.14353503,0.11288940702910515,1.4014412953716637,6.7435782915186335,0.13193457015238969,1.2589176541258558,36.73091881667169
16,97,fit,1.077251506237499,5.601974008557652,12,12,0,1.054694835415322,0.14156210315202525,66,85,0.27268922328948975,0.30459273694905775,0.28928232,0.39795882159490215,0.3618778565048027,4.549009102117327,0.08112508627277884,0.7740943346639202,24.149774209907136
17,109,fit,1.1379553489908374,5.6966385239428,16,17,1,21.00990463114818,0.40366375495136636,73,92,0.32441437244415283,0.26359817465321894,0.0,0.0,4.340936907708371,10.965650229008315,0.5469282313647073,5.218780833632702,95.62471944195174
18,104,fit,1.1198612623814015,4.0674706097623545,15,15,0,97.43196761430467,0.23875057925410492,70,89,0.30114123225212097,3.84035168633093,0.10895351,0.0,36.203596522531804,28.567426363864257,3.7580225379631886,35.85899368285485,802.9701921069023
19,112,fit,1.2068144194819679,5.114613406358618,16,16,0,163.97553492211316,0.5266936628972402,78,96,0.35990622639656067,6.314069600693331,0.074919954,0.23880595732214424,60.10390325100091,35.01586976232426,6.252560686877251,59.66183861524094,1104.5296286445052
20,111,fit,1.1533922778341785,4.583609570289716,15,16,1,56.64850334692703,0.12597793577079058,78,95,0.35472023487091064,3.055883672396384,0.008177728,0.0,26.769961564397885,22.533423115467055,2.766856802792851,26.40130537016079,499.18713280620653
21,97,fit,1.1109953247890252,4.610098476690849,15,16,1,84.4518416073599,0.9965005536113526,63,81,0.2618328630924225,3.260190118016909,0.22496636,0.18582776212188465,30.032979398385997,27.17223815121365,3.133828166536291,29.902940520384455,765.3483372725485
22,99,fit,1.1072633927402975,3.13359261347517,10,11,1,53.49024987086771,0.028252590930257858,69,88,0.27528083324432373,4.631091086583709,0.0,0.37753092923256665,43.74765854044996,32.84297402691743,4.596231079787976,43.85716679186999,1420.7701650510223
23,96,fit,1.0364965881890906,5.168847615590887,14,14,0,2.4780305309999577,0.15189752032756773,63,58,0.2276235818862915,0.19438664210060927,0.23864686,0.3919961953761107,0.41334400027998053,4.0224920394746375,0.06444753887129005,0.6149574319779585,17.042150550767854
24,105,fit,1.23300746734812,3.9446184244075977,11,11,0,44.0046464446907,0.06358854746355475,76,94,0.3339241147041321,3.428503803875084,0.2918901,0.1688572644636465,32.61990440956836,26.514744042465875,3.352058613101825,31.985292109750237,755.7652252248059
25,107,fit,1.1332289935238746,3.957914032703484,16,16,0,29.30977298272843,0.4409875952184636,72,91,0.30060192942619324,0.6315304871030297,0.07344079,0.0,8.013392977171637,13.478689998170376,0.7827340746293242,7.468836589974467,195.98856813955237
26,103,fit,1.1779252162124543,1.592642170314479,17,17,0,1.981479377865011,0.0337825569751973,67,86,0.27189919352531433,0.3458827519411052,0.13090037,0.07795014241985464,0.7378100919378486,4.5722187417254405,0.09270454156406976,0.8845853202678412,22.06904886405498
27,110,fit,1.2249530563978375,3.561751408525402,15,15,0,90.20422364681455,0.1479572078283794,77,95,0.34328630566596985,4.396524994098442,0.014559249,0.20847030519390566,39.93857142467052,28.22183817346043,4.1770865979541,39.857696545363545,837.4571078078111
28,105,fit,1.1023301198345004,3.0641474026919613,15,15,0,194.2199977353741,0.7492040424180629,72,90,0.2864900827407837,6.394556590112353,0.21555296,0.10249774909456993,65.8070596639538,39.2563667295585,6.924958670357473,66.07784990799115,1534.190794402533
29,107,fit,1.2491906502057413,2.58570671033176,16,16,0,153.17348915470936,0.13304486779649594,72,91,0.33909931778907776,4.398737137043077,0.23848513,0.0,46.862437261108965,32.06325916570962,4.872256834577238,46.491000329935474,1059.4552828204282
30,93,fit,1.0812638674079962,7.499074566926833,15,15,0,53.20306720565193,0.1898077939613997,58,78,0.21137849986553192,1.7429354157596562,0.1604408,0.24499276850971297,16.423405218277612,20.926009907972848,1.7326069217226412,16.532508795063368,494.5376674823578
31,111,fit,1.2722511195594275,3.710826569835496,14,14,0,136.19009074292936,0.12219948092790786,78,97,0.3596530854701996,5.8700844961591745,0.31765443,0.0,59.86782586461228,35.28776417068337,6.229226439519196,59.43918358319843,1301.8336214417695
32,93,fit,1.0943040421990906,2.5268988601943505,18,18,0,28.803919525869002,0.0748912947852106,56,75,0.21801342070102692,0.17280932106934566,0.0,0.0,3.4189221347703778,11.442629093154071,0.3555922188727092,3.3930555235945534,93.17122836809162
33,116,fit,1.1863402179405582,5.789709392509369,14,14,0,16.31423393409571,0.11112421923137888,83,102,0.39092013239860535,0.8463607432497732,0.0,0.0,6.884541692729987,11.935507777751686,0.7320473792575846,6.985184916580005,144.60875552137358
34,91,fit,1.1140369545761641,3.4586693327146367,13,13,0,85.86313288928284,0.10419920192484709,60,78,0.23872195184230804,3.962581104398429,0.19785726,0.34532889163832575,36.5128378121824,32.03298216622248,3.811296637776922,36.36733432993246,1014.6451041161557
35,92,fit,1.051560133183086,4.223780842508087,12,12,0,0.2606755867677313,0.03577624385847543,61,74,0.225594162940979,0.27795222776496004,0.3024692,0.35237551445317067,0.5300416121887885,2.6270229503186817,0.020051752197569814,0.19133351333558982,5.339463158878937
36,101,fit,1.1418800964507936,2.0170794368385523,19,18,-1,0.8080465854963305,0.3953329109983046,64,60,0.2574159502983093,0.22563361902393606,0.0,0.0,0.39737185651257534,0.8310328980041701,0.009880664303278075,0.0942811479320427,2.395777079023784
37,120,fit,1.2993600090247528,2.632007191463091,23,23,0,37.85860301844209,0.41075140014959705,77,97,0.34541216492652893,0.14973586829107235,0.20697261,0.2854299253466727,4.450422030258425,9.855241867583844,0.4083033847067185,3.8960246632320468,78.21376586289429
38,110,fit,1.156305914963228,4.622235004007164,15,15,0,22.87406142183868,0.043634429533155744,75,95,0.3159308433532715,1.4886761018381565,0.0067206775,0.24977433663066442,11.494898618229735,14.593254977212084,1.2095267249378243,11.54128554329985,266.03819804891293
39,101,fit,1.2967507356028085,1.3986934009209726,14,14,0,4.907995280839163,0.20933773006584236,68,87,0.3006303608417511,0.6191729719506651,0.15890956,0.17050323028629585,3.142797393864093,7.9060254543309725,0.2926322910926791,2.792292853937777,60.38065461659993
40,101,fit,1.2047288436669652,4.27095049214033,14,14,0,5.282903864954502,0.10501011147483656,69,41,0.2951063811779022,0.14721707184972355,0.2944967,0.3689448102869608,1.4704198441873813,5.758707068311842,0.14788023204279557,1.411070916438889,33.708824289151046
41,94,fit,1.0538224688283295,3.8283635076789104,15,16,1,106.52530945539148,0.08611024447055741,61,78,0.23761756718158722,3.1539697363447883,0.2683707,0.21245590648335055,32.18198492297723,29.28094613019293,3.379786091562056,32.24986728589748,857.9747628048549
42,107,fit,1.1769833011366564,6.0066014196465956,14,14,0,0.49241418036633855,0.13759812947971678,75,93,0.34134581685066223,0.45570347616892964,0.0,0.0,1.096833980409759,1.4797635348757707,0.009188798646630388,0.08767937639914491,1.580452052543704
43,97,fit,1.1139197440713615,2.724635158825584,21,21,0,33.094741126170405,0.14105390719717406,58,76,0.2173788994550705,0.1679829860929023,0.07510351,0.0,3.407255097155418,10.362057282809834,0.35529989929084216,3.3902662146072724,87.61137131629444
44,98,fit,1.1085902323243808,3.732392083443043,15,15,0,5.741851539397716,0.37529234927177085,64,76,0.2548392713069916,0.2648574919275028,0.27519,0.4113714030280269,1.2473383995773717,6.343894463450979,0.1226357529218166,1.1701884820784025,29.530886871477488
45,109,fit,1.0461741526767152,6.51769308229359,14,14,0,109.15192304891242,0.16450980905701798,77,95,0.3313712179660797,5.265014551823549,0.0,0.06761362443992276,51.08968978027327,32.55525346884314,5.357086904396073,51.117241454161004,1149.1703254161432
46,100,fit,0.9884095993822631,4.027738612451261,16,16,0,5.573581084926703,6.087133872942917,65,84,0.2643054723739624,0.3431524076724886,0.25547045,0.34044035451559074,0.7962674582684789,5.559680542044886,0.11839661912957222,1.1297387321524066,32.02811890693739
47,103,fit,1.1716584745667646,3.8349446182902334,18,18,0,34.95943221386984,0.5172772115417403,66,85,0.28176388144493103,0.6424554133699205,0.120145634,0.06370685902637482,6.884493436732438,12.955579662856268,0.7298044833527799,6.963783238099045,134.2631014464096
48,98,fit,1.20104456349758,5.077243760323339,11,11,0,80.14070093364262,0.07758351749268297,69,87,0.3133154511451721,5.034057246949087,0.090483114,0.35630687499968783,49.506567665430374,35.60270179501933,5.192677231217934,49.548446862766546,1148.0633410621117
49,107,fit,1.1842905386088667,4.811368045683692,15,15,0,185.43614664946705,0.14056300012046705,73,92,0.3152022957801819,6.399009800044831,0.27980366,0.0,65.19996648178021,38.440644902504964,6.844347159364479,65.30865610080609,1442.8411509967043
50,96,fit,1.1633787895197143,5.856899681020988,14,14,0,120.85245822149275,0.12793822919542933,63,82,0.25745686888694763,4.43920626759337,0.1963673,0.518491271930143,43.936813547997545,33.953505141140305,4.609392717365763,43.98275493669621,1161.835912216048
51,105,fit,1.0317740128088562,9.335386400144177,6,6,0,13.390645262117886,0.025171393633090455,80,99,0.34444084763526917,3.5732728126685407,0.0,0.21486508542097235,35.99985942769564,28.29115060349659,3.7286689914418463,35.57890259009395,1079.7639295447186
52,99,fit,1.0582551652679184,2.9604362087952536,18,18,0,3.3264460875405653,0.09032555227871436,63,53,0.23153208196163177,0.18636777852244615,0.16320841,0.2613387859190384,0.47122654455367935,3.182952900734031,0.04798479155140894,0.45787014839130663,11.97692279849874
53,96,fit,1.0802632185578414,4.099613054261495,15,15,0,84.14612905467897,0.07102801541539717,63,81,0.25687316060066223,2.1545416992930484,0.35118935,0.19343962292048267,23.911740317009095,25.17838121336458,2.4731484694576586,23.598744937573077,668.4254239365215
54,93,fit,1.1431918526962268,4.466051406021348,11,11,0,30.18020505285729,0.09617506400961504,64,82,0.24739007651805878,2.012923342878857,0.15254961,0.12494199397508944,18.4468815586433,22.102746882098117,1.9341138332299084,18.455284668224316,557.0854208062162
55,86,fit,1.024428973560522,2.0820159053672094,16,17,1,63.653745433238655,0.06065385824300543,52,69,0.18463930487632751,1.8639267164088633,0.0,0.0,16.88623148067783,22.230234930585407,1.765201202984039,16.84352292923701,536.0807461800608
56,94,fit,1.1160650942629387,3.5280112486505186,15,15,0,104.24781285156782,2.116435995179539,61,79,0.2542005479335785,3.570966247451258,0.14538994,0.13063816641199508,33.747073103212465,29.876145327700304,3.54289148800613,33.80621648860811,938.0541852362842
57,103,fit,1.1726356299641139,3.4977756425974125,13,13,0,8.42072864760048,0.041344458677779784,71,90,0.29864346981048584,0.329189675043086,0.0,0.0,2.6048591060322526,8.924195081099679,0.2700132360385229,2.576462175940104,68.3613608390251
58,100,fit,1.1440640616911029,4.32188242542826,11,11,0,22.765811292500512,0.0986150468192998,70,89,0.28340575098991394,1.5353654411821265,0.33187464,0.2693217394128539,14.485680110354927,18.662773539866684,1.5112990961870976,14.42079290254864,394.00960595315786
59,109,fit,1.1673629142432853,4.613130620421583,19,19,0,85.54208731558263,0.2159771749321629,72,90,0.2986084222793579,1.5528912739169891,0.28379974,0.2554410314016726,18.151562863037082,19.498748082377976,1.9474073620340033,18.582131317118353,365.5177930935167
60,109,fit,1.1731080174895274,3.8030900710249638,14,14,0,83.17155099160404,0.1831602519213435,75,95,0.3183061182498932,3.97085701388326,0.24997516,0.27062137279199117,38.13017483466747,28.092885760997866,3.9985791364257324,38.15438107276462,956.1541449614405
61,104,fit,1.1568794803643132,4.247937422524704,14,14,0,5.925419039959598,0.15398295610941828,71,37,0.28437772393226624,0.12654887906194792,0.26030034,0.23482376300842112,1.57595941614474,6.240320097117089,0.14771764460700354,1.4095195096088124,36.61470642484735
62,106,fit,1.2874907997746283,3.3409104055059977,8,8,0,17.682278261725163,0.18902575395215482,79,98,0.3779212236404419,2.1122071814161623,0.13424656,0.1735526951669878,23.461861106965635,22.55902010063834,2.4483553332044576,23.362169209966197,546.1604142583992
63,129,fit,1.2316117453362203,4.278929976828877,24,25,1,77.89785118596241,0.286164347131019,85,104,0.39965054392814636,2.182560155998728,0.084476195,0.0,18.649343929574464,16.325847035201825,1.8759244458923132,17.900042422636577,255.35884923594907
64,94,fit,1.0953881085582093,2.1709876213127517,18,18,0,31.187066876361182,0.32442457597581764,58,76,0.2171909213066101,0.37270270782410786,0.027715873,0.09081576642289718,4.557792489197706,12.306892944530636,0.4898418089845129,4.674063062829322,127.49550978923614
65,92,fit,1.1283670761981484,3.0981908070716457,15,15,0,121.72442580281567,0.3140488297756615,59,77,0.23199637234210968,4.168378513860076,0.0,0.0,38.90526703797772,32.82784576150545,4.0736018826214515,38.87024697157874,1095.4249204936382
66,111,fit,1.146587846960403,3.0006856072325823,13,13,0,14.650447195710854,0.0957119775065894,79,98,0.28316763043403625,0.41486756830066285,0.19927458,0.11435920778749158,5.542886630046383,11.597168675667604,0.5473127096420323,5.222449519485041,142.61375980309384
67,99,fit,1.148097211155367,2.929429522668411,17,17,0,65.60050317986051,0.33690137522597136,65,82,0.26332345604896545,1.2724645918770336,0.0,0.1321149335558398,15.053863045322723,19.16110366560069,1.566673511224424,14.949174725423893,381.0373526375784
68,90,fit,1.0247877353034052,3.0664947016778057,13,13,0,42.44836039072329,0.10018136644565623,58,77,0.21796637773513794,1.8718661412080264,0.15987691,0.19051011469004228,17.37657286631785,21.976805959635897,1.8090571882999489,17.261996071564397,535.9512097087725
69,99,fit,1.1021548857278833,2.85383874336586,21,21,0,38.378552729196606,0.2969806424085355,59,78,0.22696039080619812,0.8832262349428408,0.0,0.015089202910081024,7.067981944049369,12.93062623255514,0.761079600560345,7.2622099290109245,191.2928332646787
70,116,fit,1.0232970106756654,0.47461976504156456,21,21,0,95.16115523915899,0.23752837278768535,77,95,0.3287889063358307,2.696822438625074,0.0,0.15487744557562955,23.595392203589913,20.56981380457567,2.3729905032106813,22.643039152773675,381.43215566761137
71,107,fit,0.9878906284495405,4.72642180599078,16,16,0,68.8500195706987,0.2038540461320801,72,91,0.23090748488903046,2.88278639996745,0.22430255,0.4803704288291928,26.260202504701784,23.021388963399037,2.7577509911230424,26.314417854227504,727.4956402233549
72,102,fit,1.1365742732935187,2.8602338515597037,20,20,0,187.40639310054684,0.3192857084119208,63,82,0.24736909568309784,4.0406391795757655,0.026399886,0.2252760071619778,38.769026406493765,29.87872211796438,4.075426728858943,38.88765962651663,954.3978078446013
73,98,fit,1.1974167044172825,3.411154635804437,17,17,0,0.7749087156291645,0.1136808668216134,63,63,0.26198673248291016,0.24673758783552358,0.08436871,0.15431691870675235,0.1971415671184498,1.415764205332801,0.011169044694388224,0.1065748539540861,2.609600077492005
74,105,fit,1.2504920952600274,3.876831220741934,14,14,0,0.49690650351133125,0.13844042808234344,72,77,0.3208972215652466,0.33476330625514433,0.0,0.0,0.15148397560838334,1.9193799332175276,0.01182589070165461,0.11284246852723864,2.4801797095175795
75,100,fit,1.0605938268605963,5.194314811576786,18,18,0,7.579687698298756,0.15788879761001906,63,82,0.24242925643920898,0.40852418068427765,0.2490876,0.234403426000505,1.8941571790282332,7.165898587467124,0.21697255294981033,2.0703487876890296,57.205040420496644
76,93,fit,1.1517734467697824,4.4560065643179145,9,9,0,8.570851110776628,0.0687324602342536,66,84,0.2839421033859253,1.0941317963826935,0.268148,0.22678326960117146,8.477613458730549,14.926885873099451,0.9005290918152492,8.592834845565354,254.45830326051276
77,109,fit,1.257017349904867,5.183963404954346,11,12,1,52.74274149662533,0.07575147490601407,78,97,0.38417455554008484,3.499816283056539,0.34995744,0.30019190803161566,37.044005450138116,27.902612862758676,3.855453793484072,36.78868123553504,810.5051736358091
78,98,fit,1.1871861799067356,8.156857670808275,8,8,0,12.379918616182552,0.03355465560394633,72,90,0.3140000104904175,1.046035071725622,0.1350605,0.24029992164689323,12.873464820700667,18.68008292378198,1.3291143750728347,12.682389075122469,357.71567182014496
79,96,fit,1.107451068780589,3.8242547944305496,14,14,0,146.37448182575523,0.354506797665153,63,82,0.25008273124694824,5.796931194884568,0.12801367,0.21044097753591748,54.8825309429386,38.38362278756386,5.7511855598874195,54.877724808086064,1518.987493685447
80,108,fit,1.1441545403055735,4.6933689073399325,18,19,1,39.199996448969735,1.2259746127230546,72,89,0.3018993139266968,0.8316288743097604,0.25283462,0.37087056555409326,8.524256390593223,14.18630896477077,0.951786594046147,9.081933149295295,200.85486520417538
81,96,fit,1.0282140608798267,4.819596767282451,14,14,0,108.89754303719916,0.1825779757266299,63,82,0.2478310614824295,3.474153329898893,0.2983442,0.0,36.70775371863529,31.224083422780126,3.853061252398211,36.765851645021094,1005.3466430229106
82,98,fit,1.1200276710870567,1.548567437264247,25,25,0,136.5702437766003,0.459629717016764,55,73,0.2034716159105301,1.00138639513509,0.19680111,0.25068096122655964,12.882151813978368,18.565753773148227,1.3411854818273325,12.79757139148218,317.39141535566756
83,96,fit,1.017378224416585,4.565716708766947,20,20,0,53.8949091339462,1.1340820868779262,58,76,0.2127426117658615,1.054426628731355,0.17853124,0.1074522923076903,9.731800698966962,15.449455808020003,1.0045855861109259,9.585740325485933,243.19418791192933
84,120,fit,1.2085809506764846,3.144343791940508,18,18,0,9.177580649515706,0.21339781391759627,83,46,0.39250946044921875,0.1876457702152918,0.027952626,0.0,2.05641228464896,5.843937873744111,0.2016140230824664,1.923797930176206,35.6694781083689
85,98,fit,1.1499987395188416,5.861429242302061,14,14,0,24.99385236841695,0.18338605730833205,66,84,0.27718284726142883,0.5712175552393465,0.18553689,0.1670587842526889,6.754155808181614,14.430531399651779,0.7472217430060176,7.129978463797878,161.36166700043913
86,96,fit,1.05001795930007,3.4711797077217947,19,19,0,4.960144037065623,0.3300952306180393,60,77,0.2345188707113266,0.3432014279326484,0.0,0.0,1.1612796910291903,5.788187259757268,0.13704814813065389,1.30771133712456,35.55028982616688
87,104,fit,1.2330559155516652,3.1637627172509846,15,15,0,35.32560050247044,0.1656030005372933,70,89,0.3155215084552765,0.8215175538248385,0.10723839,0.0,10.477422061681006,15.813739125196127,1.0518972776903617,10.037187764221008,249.1379502288017
88,98,fit,1.1785323585461267,2.4073951603885573,13,13,0,3.8911774035681,0.17939294780906836,66,65,0.2835600972175598,0.254451318966739,0.07839246,0.18575844625005072,0.7293073289542499,5.749448004787746,0.12034159815960105,1.1482976923626054,25.376208509927867
89,100,fit,1.1904658775702466,1.8747676098798223,15,16,1,89.26580420485296,0.2003548919106624,67,84,0.2919447422027588,2.492377542830147,0.0662308,0.0,27.390619894195364,25.874807500790045,2.906715375285214,27.735833733637538,612.9316380462976
90,97,fit,1.2920657778657354,4.390311273387328,6,6,0,16.66411844924508,0.02721305889346599,73,91,0.34540849924087524,4.872169996162043,0.0,0.0,43.6077277988686,33.3601310598956,4.572084081358708,43.626756501514386,1136.731130191592
91,103,fit,1.1916757260264081,2.2545020810712697,24,24,0,0.6245575210697698,0.1615061431897131,61,64,0.24060168862342834,0.23698056051898186,0.036569465,0.0,0.03900232727170662,2.373984918388676,0.020679055625916817,0.19731923307172533,4.529006523968477
92,107,fit,1.1639147454545669,6.168156480063085,16,16,0,95.98640680824418,0.2407526736303756,73,91,0.3221352696418762,2.621884117156763,0.0,0.13330698035263344,29.102206729872652,25.06841214670139,3.092105219062998,29.504820792585857,598.1573164031718
93,97,fit,1.07357044190817,3.426044184197474,19,19,0,145.12609598928483,0.133352128255847,59,78,0.2265939563512802,2.4697367738812237,0.001410076,0.0,26.637699037191467,26.13286212808484,2.779889061669267,26.52565898539377,713.6697925868556
94,98,fit,1.2052378829033104,3.553246830722848,13,13,0,14.34766881354722,0.09326766939972948,67,85,0.28759780526161194,0.9107185616810924,0.14927827,0.03577403447571439,6.905470168191744,12.920146908891233,0.7274612683784811,6.94142431658856,174.01034759693263
95,106,fit,1.1478675716713218,2.496386229215596,19,20,1,293.42874911478197,0.5477192865610139,66,86,0.26108887791633606,5.934885722288081,0.015153091,0.46808991764843966,62.388296641938275,37.776912463766585,6.504190518971624,62.062886631408624,1596.334648245534
96,100,fit,1.2498024864195787,2.1540408336619064,14,14,0,1.5244975803608898,0.06766074730254609,68,62,0.2959176301956177,0.24460158496225604,0.0,0.0,0.5442163936932957,2.875244936214117,0.04030318839692751,0.3845724083676289,9.481777748343934
97,103,fit,1.1357890179299883,5.032065170673433,19,19,0,160.45030532910073,0.31245887969993613,66,84,0.274862676858902,3.7658511506915984,0.20005718,0.292854430848655,36.849320386028914,28.7759074927491,3.858627201336252,36.81896184481156,793.7174593369925
98,102,fit,1.2213849739933675,5.661981031354807,9,9,0,31.411950543299227,0.033900851831387795,76,93,0.34798166155815125,3.4873773930840692,0.29914907,0.29673379108124154,33.58006075497939,27.728639726391886,3.5074423204038676,33.46796107255599,808.7797039597942
99,112,fit,1.3304772403590515,4.479864803858675,5,5,0,16.323651134884347,0.016005572271018696,88,107,0.4277842342853546,7.873802563417975,0.0,0.13007374228243893,74.84966770780053,39.8007774259351,7.873651746076518,75.13026475263852,1569.422227805937
100,116,fit,1.048552371804086,5.855753705001037,16,16,0,195.45538449018514,0.1603326623427489,80,100,0.3473624587059021,8.130215717691266,0.1531031,0.0,76.42929278008417,38.820276507397104,7.9978029009074625,76.31491317659793,1580.4945880674682
101,103,fit,1.2079885663630403,5.1103074282125736,8,9,1,4.909851042952356,0.047189759283628466,76,94,0.3383234143257141,1.074189982338473,0.18390651,0.3769292844543819,7.825936540960604,13.075434365137069,0.8321101472094744,7.939982320701091,209.9434092111304
102,95,fit,1.103505341334137,3.3529896965397334,18,19,1,162.3182088179187,0.2021812669828976,59,76,0.2308068573474884,3.993209539712778,0.0,0.15481216190894018,37.90659801937344,31.388857321950688,3.9559198656440597,37.74732696225248,947.5325166700172
103,114,fit,1.238920236431987,4.222045979252412,20,20,0,3.5574336014308656,0.3023866631032841,75,86,0.33846405148506165,0.3541979569453856,0.32494307,0.3429407510810386,0.5215711272837359,4.425384499820626,0.08049899195332925,0.7681201522264242,16.017533151491346
104,105,fit,1.2052177128749189,3.939620494074746,19,19,0,3.8763417756228566,0.4535007200219607,68,86,0.2815135419368744,0.4169503568594565,0.20613468,0.2730959860713875,1.3444791392188191,5.415882129653382,0.13848930025084832,1.3214627886531327,29.021112969140475
105,106,fit,1.2477165054116,3.2861147949776646,16,16,0,130.61988573761482,0.2230254154878318,72,90,0.3198355436325073,4.827999546160964,0.19765395,0.040190966750195393,45.59781495522642,31.430727017845477,4.78535486705114,45.66178308254904,1020.0280580528757
106,101,fit,1.1445912919028312,1.656408040678447,15,15,0,1.766173645440207,0.09908138186977111,67,74,0.27019497752189636,0.2809427367891687,0.0,0.0,0.31284890654719943,4.2089027278972315,0.05966140138247216,0.5692881811304595,15.648056488446628
107,101,fit,1.1152536885098587,3.6161795463226096,15,15,0,59.35662819248148,0.17781638229929803,67,86,0.27776795625686646,2.6727552672536317,0.30294767,0.5266467749374932,23.546488321842432,22.998966696322835,2.510341595597183,23.95364117936243,661.3967255486357
