idx,T,quality,v0,w0,tc_real,tc_twin,dtc,air_com_dev_mm,air_ang_dev_deg,contact_frames_real,contact_frames_twin,stop_dist_real,stop_dist_twin,e_z_real,e_z_twin,rest_offset_w,wind_mag,wind_offset_m,wind_offset_w,wind_offset_pct
0,111,fit,1.3391368756721636,5.224510650123767,11,11,0,2.7213575447155978,0.06262086281319375,82,63,0.4031098783016205,0.30057777604743885,0.09632977,0.04610535420965441,1.0170496665994513,5.198470199916289,0.1914991109403293,1.8272815929420734,31.765492327095032
1,99,fit,1.1126430885453118,3.153414366927388,14,14,0,0.5760906415133502,0.07517238152184574,67,58,0.27458685636520386,0.2100641723110873,0.018714849,0.03111600021509279,0.6179000505233492,0.9731189826609999,0.008069839106523148,0.0770022815507934,2.26000853744579
2,104,fit,1.1842271392262225,4.241812957860962,11,11,0,0.5067821628776732,0.06444047815648762,73,73,0.3160378932952881,0.29958232009517505,0.045541037,0.12901953116468795,0.3155691527165456,2.7577632959603577,0.02033079418871353,0.19399612775490008,5.012004793154709
3,111,fit,1.2380356893339635,3.5259657371594844,15,15,0,7.863938523987532,0.11899260517723763,77,96,0.34995049238204956,0.755474455825151,0.14506747,0.09612681268477206,4.11676718514198,8.910168738681028,0.4496163165332348,4.290232027988882,95.00759919700813
4,90,fit,1.0633523305849486,3.9489505054703393,21,21,0,19.451683267583455,0.15059548995604977,51,69,0.18765677511692047,0.549701177608626,0.13458951,0.014166751186549588,3.6644743767945074,9.765295072787938,0.36502260545790827,3.483040128415155,94.22830758713792
5,104,fit,1.1174659284453319,2.0423768550959034,21,21,0,1.1895124072356702,0.11861047112096333,65,62,0.24487075209617615,0.22635873015847063,0.12111304,0.0336135713487083,0.17902325663490704,2.646699163974485,0.02100037160926943,0.20038522527928845,5.102256669947801
6,101,fit,1.2250308705085768,4.0693891478900115,13,13,0,1.387536040753879,0.11759337977939145,70,78,0.306805819272995,0.3285571054479934,0.12965216,0.19183794517938402,0.4862775992547566,3.984522162887078,0.05186564861468626,0.4949012272393727,11.681173094903995
7,105,fit,1.1338154679338635,6.716479673986876,16,16,0,7.3471722311851275,0.11034972978964935,71,89,0.32051464915275574,0.7158450578041873,0.0,0.0,3.8780661472836546,8.215630845166059,0.31830926079786437,3.0373021068498507,57.693222045596656
8,98,fit,1.0227561600505186,0.742771263205658,17,17,0,0.9543064715879086,0.18169824012230698,64,81,0.2512023448944092,0.3660816329087214,0.33558625,0.23130592484441528,1.1109721094531733,3.31849577045194,0.036768431512557195,0.3508438121427213,7.676643269661808
9,102,fit,1.1374396198225898,3.432872903274964,12,12,0,0.5065841622081009,0.06164706623970963,72,65,0.2869386076927185,0.2508621109283205,0.2694296,0.3219816997554522,0.4204231718728398,1.3531032276696993,0.019662259339483918,0.18761697843019004,5.026223876421914
10,105,fit,1.095575096554239,3.1007709324406156,13,14,1,0.36486989406305065,0.3113858944716493,73,66,0.27073797583580017,0.24872076675150445,0.30464384,0.3244848998309634,0.48707693582328365,0.30876365269351164,0.0026901281721268895,0.025669161947775663,0.694547184457699
11,104,fit,1.1074410973691553,2.64173772633113,18,18,0,2.22555663467128,0.20317781737677282,67,70,0.2643454372882843,0.2630866716609189,0.1780551,0.05127706211827715,0.24044972326079125,3.87808116738866,0.049074960323471625,0.4682725221705308,12.153721767902118
12,111,fit,1.1011887256001873,0.547241870203375,22,22,0,11.780819459830585,0.111327693115557,71,89,0.3033127188682556,0.5102690837522161,0.0,0.0,2.3060781030542965,6.56603297352901,0.19234989277744727,1.8353997402428173,31.488872303751265
13,104,fit,1.0563934155188914,2.3882888025506595,15,15,0,1.4144786326445493,0.1281890043419374,70,79,0.277720183134079,0.2920058708287984,0.37782225,0.38377765745608317,0.483646774220589,4.292806414338112,0.07178811291840913,0.6850010774657359,19.47352241981357
14,90,fit,1.0415916414613955,3.1538497335708744,14,14,0,0.6577786353062528,0.0748676506482939,56,57,0.1997862607240677,0.20232319855668668,0.07854188,0.13081252104465368,0.24135476100109862,2.276782531321193,0.012436385497601963,0.11866780054963705,3.748350708409159
15,88,fit,1.1092534485752656,3.8443447981376875,10,10,0,0.10691333732071855,0.07317553905182629,59,67,0.2287186235189438,0.26169063948369636,0.14353503,0.10189068734168072,0.3142978117527598,0.08951743965080654,0.0006619158844883562,0.006315991264201871,0.18427906035942682
16,97,fit,1.077251506237499,5.601974008557652,12,12,0,5.7258255994166705,0.14156210315202647,66,85,0.27268922328948975,0.4161048049638519,0.28928232,0.3998781798000718,2.556727714482564,8.75736683239266,0.2644743254443468,2.523609975613996,78.73021203727951
17,109,fit,1.1379553489908374,5.6966385239428,16,17,1,0.8982054222916787,0.40366375495136636,73,92,0.32441437244415283,0.4313455840583915,0.0,0.026388697568051265,1.1402970778340922,2.194094628772883,0.017667297872087845,0.1685810865657237,3.088943494652466
18,104,fit,1.1198612623814015,4.0674706097623545,15,15,0,3.1612038359081684,0.23875057925410567,70,56,0.30114123225212097,0.2307815461913571,0.10895351,0.06037623468283463,0.7457471808509644,3.732964886658582,0.09603441423713324,0.9163589144764622,20.519507605363934
19,112,fit,1.2068144194819679,5.114613406358618,16,16,0,0.41945275347413313,0.5266936628972382,78,87,0.35990622639656067,0.4120741802862744,0.074919954,0.0,0.5307196931019605,0.6636283372800483,0.005130836978046553,0.04895836811113123,0.9063744833203107
20,111,fit,1.1533922778341785,4.583609570289716,15,15,0,2.7293384484867653,0.125977935770792,78,96,0.35472023487091064,0.51433830971207,0.008177728,0.008536062805224206,1.818371460912622,5.081593061200579,0.12186479817620956,1.1628320436661217,21.98644293054278
21,97,fit,1.1109953247890252,4.610098476690849,15,15,0,7.743033940528016,0.9965005536113571,63,82,0.2618328630924225,0.45368983719243233,0.22496636,0.3159791383785028,2.3871174432555544,8.264284295873404,0.2509155551196879,2.394232396180228,61.27898298869532
22,99,fit,1.1072633927402975,3.13359261347517,10,10,0,0.5047514263851818,0.028252590930257858,69,61,0.27528083324432373,0.22304000707492488,0.0,0.14436457179495443,0.5741344142855738,3.0285996396619255,0.019743917150717688,0.18839615601829854,6.103167560990623
23,96,fit,1.0364965881890906,5.168847615590887,14,14,0,0.853732153980807,0.15189752032756862,63,82,0.2276235818862915,0.295545819499048,0.23864686,0.39496158800663916,0.6635636021833882,3.7522756791778313,0.05061860240489638,0.4830019313444311,13.385303115709748
24,105,fit,1.23300746734812,3.9446184244075977,11,11,0,2.6632098628341723,0.06358854746355475,76,83,0.3339241147041321,0.321858071810828,0.2918901,0.38454472587781185,1.701431200563874,5.859550576797396,0.11995313970527637,1.1445910277221027,27.044995959033052
25,107,fit,1.1332289935238746,3.957914032703484,16,16,0,6.133974558632423,0.44098759521845654,72,44,0.30060192942619324,0.14981187908768384,0.07344079,0.0,1.526048643237125,5.505777322238636,0.10839015903574607,1.0342572427075007,27.13978189833411
26,103,fit,1.1779252162124543,1.592642170314479,17,17,0,1.6913497241512767,0.0337825569751973,67,64,0.27189919352531433,0.24581120189624847,0.13090037,0.07323302881988215,0.34509099472887694,3.0294318705291294,0.027302372259298272,0.26051881926811327,6.499545516641688
27,110,fit,1.2249530563978375,3.561751408525402,15,15,0,3.153192050953432,0.1479572078283869,77,95,0.34328630566596985,0.4557892642533467,0.014559249,0.0,1.2880909003624537,5.594756363487711,0.13486761032427072,1.2869046786667053,27.039381691161136
28,105,fit,1.1023301198345004,3.0641474026919613,15,15,0,0.42204301581951814,0.7492040424180598,72,75,0.2864900827407837,0.30820477867159923,0.21555296,0.22882685253450033,0.6060067176225212,1.6055305991290532,0.00930940385115772,0.08883018941944389,2.062452986320045
29,107,fit,1.2491906502057413,2.58570671033176,16,16,0,9.535924051882162,0.1330448677964897,72,91,0.33909931778907776,0.6456710767040673,0.23848513,0.11647716421600891,3.5719112322860718,8.897094228098501,0.3945205132896851,3.764508714596232,85.78711184096505
30,93,fit,1.0812638674079962,7.499074566926833,15,15,0,13.946908423710415,0.18980779396139258,58,78,0.21137849986553192,0.21362985255583442,0.1604408,0.30431227123320403,2.759458570131175,9.698023237118981,0.28173364815829693,2.688298169449398,80.41518215393768
31,111,fit,1.2722511195594275,3.710826569835496,14,14,0,0.2599091195845147,0.12219948092791613,78,77,0.3596530854701996,0.32808990875894006,0.31765443,0.3638842868400372,0.4392977404954118,0.9791501224424621,0.006717146178219924,0.06409490628072446,1.4038029954198838
32,93,fit,1.0943040421990906,2.5268988601943505,18,18,0,1.3602853067928078,0.07489129478521202,56,55,0.21801342070102692,0.19628841858212634,0.0,0.0,0.23232713711736563,1.9732177922539709,0.019047759336947898,0.18175342878767078,4.990837934275805
33,116,fit,1.1863402179405582,5.789709392509369,14,14,0,0.9771320396553219,0.11112421923137972,83,93,0.39092013239860535,0.4208578272522018,0.0,0.0,0.3143736058698518,3.663422947479624,0.06175772474724437,0.5892912666721791,12.199630751479146
34,91,fit,1.1140369545761641,3.4586693327146367,13,13,0,6.993031384777797,0.10419920192484709,60,78,0.23872195184230804,0.4196096397168343,0.19785726,0.15829830809620368,2.3096879989162344,8.788824223937022,0.2510045292143867,2.395081385633461,66.82253859592251
35,92,fit,1.051560133183086,4.223780842508087,12,12,0,0.7925865630024138,0.03577624385847543,61,65,0.225594162940979,0.23899998507666076,0.3024692,0.35227621865597786,0.29341926781554173,2.7380344573347135,0.026453639103136514,0.2524202204497759,7.044183970446
36,101,fit,1.1418800964507936,2.0170794368385523,19,19,0,4.013849316357941,0.4357641365693337,64,82,0.2574159502983093,0.3080504007331516,0.0,0.0,0.6124407479414579,4.902569950112989,0.0892163970948775,0.8513014989969226,21.63241181689362
37,120,fit,1.2993600090247528,2.632007191463091,23,23,0,16.455201844053693,0.4107514001495976,77,97,0.34541216492652893,0.7086368432972281,0.20697261,0.33621444563339264,3.8544049031708765,8.374594098090448,0.4510105978849658,4.30353623936036,86.39467275050056
38,110,fit,1.156305914963228,4.622235004007164,15,15,0,2.0160753566559815,0.04363442953315205,75,95,0.3159308433532715,0.43866082482114566,0.0067206775,0.2001936177915054,1.1948167272144576,5.088526917024842,0.12893434789006314,1.2302895791036559,28.3594077518604
39,101,fit,1.2967507356028085,1.3986934009209726,14,14,0,0.2390656267617244,0.20933773006584236,68,76,0.3006303608417511,0.32977526097529897,0.15890956,0.17887727355395944,0.39982964966034895,0.6391447084169835,0.004543401996500988,0.043353072485696455,0.9374686085077775
40,101,fit,1.2047288436669652,4.27095049214033,14,14,0,0.8790252650891575,0.10501011147483601,69,73,0.2951063811779022,0.29721966941056455,0.2944967,0.3704760123300321,0.28943250130622766,2.835189851111687,0.02516398746419132,0.24011438420029885,5.736050181469469
41,94,fit,1.0538224688283295,3.8283635076789104,15,15,0,2.4411046431919083,0.08611024447056598,61,79,0.23761756718158722,0.29691404981393854,0.2683707,0.3904876211075616,0.7110542980619086,4.721697053996101,0.06557106651943477,0.6256781156434615,16.64552688240461
42,107,fit,1.1769833011366564,6.0066014196465956,14,14,0,4.89627905184771,0.13759812947971678,75,65,0.34134581685066223,0.28702136689979346,0.0,0.0,0.9685409210171837,5.78471434836428,0.18767802554283852,1.790820854416398,32.28018504848842
43,97,fit,1.1139197440713615,2.724635158825584,21,21,0,7.236382170308083,0.14105390719717406,58,76,0.2173788994550705,0.3550140560473715,0.07510351,0.0,1.421545825250298,6.181256678867681,0.1572144884617522,1.5001382486808417,38.766622091409296
44,98,fit,1.1085902323243808,3.732392083443043,15,15,0,12.017618531933845,0.37529234927177474,64,83,0.2548392713069916,0.5138500157715645,0.27519,0.3481104390838101,3.5556033910203886,9.73189695488277,0.388505923872613,3.7071175942043224,93.55285235697342
45,109,fit,1.0461741526767152,6.51769308229359,14,14,0,5.612749126822692,0.16450980905700566,77,95,0.3313712179660797,0.39489646283642743,0.0,0.0,1.8117687052014664,6.713770188736606,0.18698798979042985,1.7842365438018115,40.111548106498965
46,100,fit,0.9884095993822631,4.027738612451261,16,16,0,5.02416931131164,6.087133872942924,65,67,0.2643054723739624,0.23257668135918771,0.25547045,0.33932885808240554,0.3872429903712178,2.467013175944202,0.017366959490886236,0.16571526231761674,4.698031478562194
47,103,fit,1.1716584745667646,3.8349446182902334,18,18,0,0.5885113843994005,0.5172772115417485,66,85,0.28176388144493103,0.3809229292019978,0.120145634,0.10948190385962693,1.045489347803373,0.7193581747329149,0.003990689736551364,0.03807910053961225,0.7341724984727724
48,98,fit,1.20104456349758,5.077243760323339,11,11,0,0.20941857774026038,0.07758351749268276,69,78,0.3133154511451721,0.3399483362790683,0.090483114,0.12132328392417513,0.25310546686804386,0.0388867524756489,0.0001268665432727969,0.0012105586190152375,0.028049274209289918
49,107,fit,1.1842905386088667,4.811368045683692,15,15,0,11.233316711065484,0.14056300012047582,73,92,0.3152022957801819,0.3742255607235295,0.27980366,0.34080750837538215,3.027902191098961,8.816288221876993,0.3264987272547626,3.115445870751551,68.8284490050564
50,96,fit,1.1633787895197143,5.856899681020988,14,14,0,1.5698430774222316,0.12793822919542938,63,73,0.25745686888694763,0.2827406517128516,0.1963673,0.2922382515543913,0.38818639405726363,4.040676610225862,0.0500493301569465,0.4775699442456727,12.61535146259569
51,105,fit,1.0317740128088562,9.335386400144177,6,6,0,0.9035747876688922,0.025171393633090455,80,53,0.34444084763526917,0.1921161563115804,0.0,0.0,1.6065757317654459,6.740861431903779,0.12314180978186721,1.1750172689109466,35.659932465579644
52,99,fit,1.0582551652679184,2.9604362087952536,18,18,0,10.388733444930363,0.09032555227871493,63,81,0.23153208196163177,0.5182690176561404,0.16320841,0.2587714327186167,2.9329353979388704,8.30028965930573,0.29786806781714215,2.8422525555070814,74.34736584323346
53,96,fit,1.0802632185578414,4.099613054261495,15,15,0,13.608155730197828,0.07102801541539717,63,81,0.25687316060066223,0.18765727058211254,0.35118935,0.3710766860278467,2.5357252946721944,9.555230611390355,0.25810635059694775,2.4628468568411046,69.75919519150686
54,93,fit,1.1431918526962268,4.466051406021348,11,11,0,0.2006074642861235,0.09617506400961504,64,68,0.24739007651805878,0.2590072572917833,0.15254961,0.08531356526947673,0.12589843852991053,2.7932552859205666,0.024392337694777687,0.23275131388146647,7.025757985738618
55,86,fit,1.024428973560522,2.0820159053672094,16,16,0,2.79551364255311,0.06065385824300721,52,45,0.18463930487632751,0.1489420537021691,0.0,0.0,0.4003096677420871,3.535795057016682,0.039513009933570216,0.3770325375340669,11.999858040658728
56,94,fit,1.1160650942629387,3.5280112486505186,15,15,0,2.209019902067705,2.116435995179539,61,58,0.2542005479335785,0.21668038897984337,0.14538994,0.13197811572315796,0.37393212681691973,1.9859162421629586,0.023956165809086445,0.2285893684073134,6.3428929944661725
57,103,fit,1.1726356299641139,3.4977756425974125,13,13,0,0.36358440825824845,0.041344458677779784,71,65,0.29864346981048584,0.2571438546357838,0.0,0.0,0.4073054410946331,0.8003402632524935,0.008810271170040743,0.08406747299657198,2.230565195177644
