idx,T,quality,v0,w0,tc_real,tc_twin,dtc,air_com_dev_mm,air_ang_dev_deg,contact_frames_real,contact_frames_twin,stop_dist_real,stop_dist_twin,e_z_real,e_z_twin,rest_offset_w
0,111,fit,1.3391368756721636,5.224510650123767,11,11,0,0.18509966017718074,0.062620862813196,82,93,0.4031098783016205,0.4548833283358369,0.09632977,0.0,0.5347980626666143
1,99,fit,1.1126430885453118,3.153414366927388,14,14,0,0.4044890320231393,0.07517238152184669,67,62,0.27458685636520386,0.22674506984054815,0.018714849,0.005337600762509467,0.4611488866535265
2,104,fit,1.1842271392262225,4.241812957860962,11,11,0,0.14714755702743834,0.06444047815648919,73,73,0.3160378932952881,0.3002300773461762,0.045541037,0.0,0.1758277932334012
3,111,fit,1.2380356893339635,3.5259657371594844,15,15,0,0.26705169421200775,0.11899260517723857,77,76,0.34995049238204956,0.3222693964301367,0.14506747,0.0,0.33340027501715563
4,90,fit,1.0633523305849486,3.9489505054703393,21,21,0,0.4513126769465035,0.15059548995604874,51,58,0.18765677511692047,0.2003372324358739,0.13458951,0.0,0.12976220187485177
5,104,fit,1.1174659284453319,2.0423768550959034,21,21,0,0.3896618551774341,0.11861047112096557,65,62,0.24487075209617615,0.22479444467749973,0.12111304,0.0,0.22883712906408873
6,101,fit,1.2250308705085768,4.0693891478900115,13,13,0,0.17836811351616555,0.11759337977939145,70,77,0.306805819272995,0.3260742054105644,0.12965216,0.039024209996209445,0.18669308360190331
7,105,fit,1.1338154679338635,6.716479673986876,16,16,0,0.36939161170165796,0.110349729789659,71,89,0.32051464915275574,0.38700478898353585,0.0,0.0,0.6773106132487771
8,98,fit,1.0227561600505186,0.742771263205658,17,17,0,0.298905545802803,0.1816982401223033,64,72,0.2512023448944092,0.28952617354366494,0.33558625,0.07522780129966433,0.38748105705328156
9,102,fit,1.1374396198225898,3.432872903274964,12,12,0,0.18530904959662792,0.06164706623970963,72,69,0.2869386076927185,0.27240298429841164,0.2694296,0.15961538644840728,0.28379339690578137
10,105,fit,1.095575096554239,3.1007709324406156,13,14,1,0.3491440521561588,0.3113858944716493,73,68,0.27073797583580017,0.2551630379746117,0.30464384,0.18143344292285063,0.533601040111168
11,104,fit,1.1074410973691553,2.64173772633113,18,18,0,0.3680427325155599,0.2031778173767707,67,66,0.2643454372882843,0.24704997687916153,0.1780551,0.0,0.18379902564760756
12,111,fit,1.1011887256001873,0.547241870203375,22,22,0,0.45441387108832243,0.11132769311556295,71,81,0.3033127188682556,0.3561087010977329,0.0,0.0,0.5294172009332787
13,104,fit,1.0563934155188914,2.3882888025506595,15,15,0,0.3737312473861126,0.1281890043419374,70,63,0.277720183134079,0.2277419823432522,0.37782225,0.2175871046138897,0.5323318660733433
14,90,fit,1.0415916414613955,3.1538497335708744,14,14,0,0.1586908216333173,0.07486765064829518,56,60,0.1997862607240677,0.21206970017728316,0.07854188,0.09249615871379611,0.1539047998306258
15,88,fit,1.1092534485752656,3.8443447981376875,10,10,0,0.10631514049078691,0.07317553905182626,59,68,0.2287186235189438,0.26088444236987984,0.14353503,0.0,0.30794702321352185
16,97,fit,1.077251506237499,5.601974008557652,12,12,0,0.5444722051134415,0.14156210315202525,66,62,0.27268922328948975,0.2242771731993435,0.28928232,0.22558273658763495,0.4812393961293868
17,109,fit,1.1379553489908374,5.6966385239428,16,17,1,0.8114383516171244,0.4036637549513636,73,83,0.32441437244415283,0.3729672617083135,0.0,0.0,0.5663123287674663
18,104,fit,1.1198612623814015,4.0674706097623545,15,15,0,0.40717010233444473,0.23875057925410623,70,75,0.30114123225212097,0.3134225084231463,0.10895351,0.0,0.12855583047587563
19,112,fit,1.2068144194819679,5.114613406358618,16,16,0,0.5337561329053726,0.5266936628972402,78,85,0.35990622639656067,0.3859278033810405,0.074919954,0.0,0.24956474721796412
20,111,fit,1.1533922778341785,4.583609570289716,15,15,0,0.28269538476962064,0.12597793577079058,78,84,0.35472023487091064,0.3776262285870939,0.008177728,0.0,0.2542471748037193
21,97,fit,1.1109953247890252,4.610098476690849,15,15,0,0.5296744177823239,0.9965005536113571,63,69,0.2618328630924225,0.2711835768971472,0.22496636,0.09294432876694227,0.11159554344217126
22,99,fit,1.1072633927402975,3.13359261347517,10,10,0,0.13513073426140537,0.028252590930257858,69,63,0.27528083324432373,0.23059001714400598,0.0,0.07092547076274365,0.4260034068814592
23,96,fit,1.0364965881890906,5.168847615590887,14,14,0,0.26366259435067,0.15189752032756862,63,64,0.2276235818862915,0.2257587914277828,0.23864686,0.21045792235601118,0.1742818738685754
24,105,fit,1.23300746734812,3.9446184244075977,11,11,0,0.14480122877037618,0.06358854746356116,76,77,0.3339241147041321,0.3229183803500701,0.2918901,0.22057335437972891,0.5614564322569996
25,107,fit,1.1332289935238746,3.957914032703484,16,16,0,0.5778783073905166,0.4409875952184571,72,65,0.30060192942619324,0.24730768102102293,0.07344079,0.0,0.5777347196523331
26,103,fit,1.1779252162124543,1.592642170314479,17,17,0,0.3564873452727048,0.03378255697519959,67,67,0.27189919352531433,0.2598280078447604,0.13090037,0.0006456122384611081,0.11729233459720745
27,110,fit,1.2249530563978375,3.561751408525402,15,15,0,0.24868456065632777,0.1479572078283889,77,79,0.34328630566596985,0.3436637410498835,0.014559249,0.0,0.013898231345114566
28,105,fit,1.1023301198345004,3.0641474026919613,15,15,0,0.3934348917123673,0.7492040424180607,72,73,0.2864900827407837,0.2892857043449259,0.21555296,0.00476028756861376,0.3768804262959789
29,107,fit,1.2491906502057413,2.58570671033176,16,16,0,0.2803190972224856,0.13304486779648944,72,74,0.33909931778907776,0.3086529363900409,0.23848513,0.0,0.31814988948349315
30,93,fit,1.0812638674079962,7.499074566926833,15,15,0,0.9320084883597476,0.18980779396139258,58,60,0.21137849986553192,0.21162542369831946,0.1604408,0.19913023908808059,0.0434191784313385
31,111,fit,1.2722511195594275,3.710826569835496,14,14,0,0.33427727442653665,0.12219948092789922,78,78,0.3596530854701996,0.33166135498533306,0.31765443,0.17175794152116886,0.38024837627521546
32,93,fit,1.0943040421990906,2.5268988601943505,18,18,0,0.2880340598370719,0.07489129478521192,56,60,0.21801342070102692,0.21470958852862881,0.0,0.0,0.0958635405271414
33,116,fit,1.1863402179405582,5.789709392509369,14,14,0,0.4813435507601216,0.11112421923138507,83,79,0.39092013239860535,0.34056744006500234,0.0,0.0,0.49194059400348367
34,91,fit,1.1140369545761641,3.4586693327146367,13,13,0,0.17783237550457986,0.10419920192484709,60,64,0.23872195184230804,0.2392395243590541,0.19785726,0.0,0.12004492091478149
35,92,fit,1.051560133183086,4.223780842508087,12,12,0,0.15208444892693454,0.03577624385847543,61,65,0.225594162940979,0.23814323431487425,0.3024692,0.1776548757610257,0.14333134524208013
36,101,fit,1.1418800964507936,2.0170794368385523,19,18,-1,0.42976773958456427,0.3953329109983046,64,65,0.2574159502983093,0.24318108983359762,0.0,0.0,0.2231112093257716
37,120,fit,1.2993600090247528,2.632007191463091,23,23,0,0.5777750725228983,0.4107514001495999,77,73,0.34541216492652893,0.2995830049846403,0.20697261,0.1803483402103092,0.4564003715992661
38,110,fit,1.156305914963228,4.622235004007164,15,15,0,0.2240141984816862,0.0436344295331588,75,72,0.3159308433532715,0.2934436291847474,0.0067206775,0.05071804071340659,0.2190314038066611
39,101,fit,1.2967507356028085,1.3986934009209726,14,14,0,0.2606953387554978,0.2093377300658427,68,77,0.3006303608417511,0.3285645524515303,0.15890956,0.00019087335953351997,0.3461522208098375
40,101,fit,1.2047288436669652,4.27095049214033,14,14,0,0.3516234864865505,0.10501011147483656,69,73,0.2951063811779022,0.2977563964443112,0.2944967,0.1889894312664622,0.0810491824856471
41,94,fit,1.0538224688283295,3.8283635076789104,15,15,0,0.22149376046281802,0.08611024447056587,61,63,0.23761756718158722,0.22455897714509285,0.2683707,0.2033170022650372,0.14050164105168064
42,107,fit,1.1769833011366564,6.0066014196465956,14,14,0,0.516209029731999,0.13759812947971964,75,93,0.34134581685066223,0.41518931672624154,0.0,0.0,0.7105696699485521
43,97,fit,1.1139197440713615,2.724635158825584,21,21,0,0.3955094811859943,0.14105390719717406,58,60,0.2173788994550705,0.21613329570048165,0.07510351,0.0,0.10956156043042564
44,98,fit,1.1085902323243808,3.732392083443043,15,15,0,0.324382348789138,0.37529234927177474,64,69,0.2548392713069916,0.2658157677796086,0.27519,0.19981370474675275,0.10491128029006026
45,109,fit,1.0461741526767152,6.51769308229359,14,14,0,0.34272663861531844,0.1645098090570003,77,75,0.3313712179660797,0.31360305518586334,0.0,0.0,0.2211496404627156
46,100,fit,0.9884095993822631,4.027738612451261,16,16,0,5.072867482143812,6.087133872942917,65,60,0.2643054723739624,0.2051722268145587,0.25547045,0.1850379823450206,0.572842534149384
47,103,fit,1.1716584745667646,3.8349446182902334,18,18,0,0.6435909218117669,0.5172772115417462,66,85,0.28176388144493103,0.35533112372672515,0.120145634,0.0,0.7521883770947795
48,98,fit,1.20104456349758,5.077243760323339,11,11,0,0.20939860180018025,0.07758351749268291,69,77,0.3133154511451721,0.3269370833304915,0.090483114,0.0,0.13002791774838174
49,107,fit,1.1842905386088667,4.811368045683692,15,15,0,0.3015424760272977,0.14056300012048004,73,75,0.3152022957801819,0.30487726048736846,0.27980366,0.21177494734505278,0.137660723712705
50,96,fit,1.1633787895197143,5.856899681020988,14,14,0,0.6157527859616722,0.12793822919542516,63,67,0.25745686888694763,0.256526212827753,0.1963673,0.09383071571551924,0.06136292624986226
51,105,fit,1.0317740128088562,9.335386400144177,6,6,0,0.2800258201032497,0.025171393633090455,80,68,0.34444084763526917,0.25895569686066855,0.0,0.0,0.8187843536828157
52,99,fit,1.0582551652679184,2.9604362087952536,18,18,0,0.2961021216841126,0.09032555227870577,63,61,0.23153208196163177,0.21903883804045748,0.16320841,0.08890890940371748,0.14636396536200655
53,96,fit,1.0802632185578414,4.099613054261495,15,15,0,0.172613523898334,0.07102801541539717,63,62,0.25687316060066223,0.2245161137481934,0.35118935,0.19382346229774408,0.4265717992550622
54,93,fit,1.1431918526962268,4.466051406021348,11,11,0,0.14561511127371865,0.09617506400961504,64,65,0.24739007651805878,0.2456775963193521,0.15254961,0.0,0.055920035575265516
55,86,fit,1.024428973560522,2.0820159053672094,16,16,0,0.21596499139204106,0.06065385824299287,52,55,0.18463930487632751,0.18617697920582743,0.0,0.0,0.022101989120456387
56,94,fit,1.1160650942629387,3.5280112486505186,15,15,0,1.7963083577186656,2.116435995179545,61,65,0.2542005479335785,0.24705031222658186,0.14538994,0.030330455985642636,0.0757104140337679
57,103,fit,1.1726356299641139,3.4977756425974125,13,13,0,0.2027705311161758,0.041344458677779784,71,70,0.29864346981048584,0.2763988818687276,0.0,0.0,0.21358170422312533
58,100,fit,1.1440640616911029,4.32188242542826,11,11,0,0.10680083445714439,0.09861504681929963,70,67,0.28340575098991394,0.2526547880866531,0.33187464,0.20146580698926358,0.29168412266903726
59,109,fit,1.1673629142432853,4.613130620421583,19,19,0,0.4085955909707011,0.21597717493216598,72,75,0.2986084222793579,0.30924157978980554,0.28379974,0.04861632584226133,0.12779501224695988
